title_deed_no,estate,township,erf,portion,sectional_scheme,unit,suburb,street,street_number,sales_date,registration_date,sales_price,size_m2,price_per_m2,possible_land_only,buyer_type,seller_type,number_of_owners,property_type,is_market_sale,data_source
ST40024/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,1,Dunkirk Estate,Hillside,21,2022-03-09,2022-11-08,5650000,355,15915,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST40021/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,2,Dunkirk Estate,Hillside,21,,2022-11-08,0,355,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST40022/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,3,Dunkirk Estate,Hillside,21,,2022-11-08,0,355,0,False,legal_entity,,1,sectional_title,False,lightstone_export
ST40025/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,3,Dunkirk Estate,Hillside,21,2022-07-15,2022-11-08,5800000,355,16338,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST40023/2022,Dunkirk Estate,DUNKIRK ESTATE,21,0,SS THE DUEX,4,Dunkirk Estate,Hillside,21,,2022-11-08,0,355,0,False,legal_entity,,1,sectional_title,False,lightstone_export
T38668/2022,Dunkirk Estate,DUNKIRK ESTATE,196,0,,,Dunkirk Estate,,,2022-07-23,2022-10-31,5500000,489,11247,False,natural_person,natural_person,2,freehold,True,lightstone_export
T30296/2022,Dunkirk Estate,DUNKIRK ESTATE,65,0,,,Dunkirk Estate,Glades,65,2022-04-22,2022-08-30,4300000,1217,3533,False,natural_person,natural_person,2,freehold,True,lightstone_export
ST27707/2022,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,29,Dunkirk Estate,,,2022-06-13,2022-08-10,2775000,126,22023,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST27707/2022,Dunkirk Estate,DUNKIRK ESTATE,97,0,SS DASH APARTMENTS,69,Dunkirk Estate,,,2022-06-13,2022-08-10,2775000,18,154166,False,natural_person,legal_entity,2,sectional_title,True,lightstone_export
ST27668/2022,Dunkirk Estate,DUNKIRK ESTATE,180,0,SS THE GLADES,24,Dunkirk Estate,,,2022-03-04,2022-08-10,6800000,401,16957,False,natural_person,natural_person,1,sectional_title,True,lightstone_export
